id,school,professor,course,rating,review
38,강대,김은애,독일어회화II,3,"수업: 목차가 뚜렷하고, 체계가 잡힌 수업을 기대하신다면 절대 신청하지 마세요. 잘 알려주시고 매번 복습도 해주지만 진짜 수업듣다보면 내가 지금 어디부분의 뭐를 듣고 있는거지 생각듭니다. 물론 교수님은 천사시지만 그걸 넘어선 산만한 수업입니다. 학점/시험: 다들 열심히 하셔서 학점따기 어렵습니다. 중간기준으로 2-3개 틀린것까지가 A커트였으니까.. (단어기준이었습니다. 전체 단어수는 60-80 정도였던거로 기억해요.) 따라서 언어만 보면 치가 떨린다 하시는분들 절대 듣지 마셔야하고. 독일어 흥미 없이 교수님이 좋으시다면서! 하고 듣기에는 무리인 수업입니다. 본인이 열심히 하셔야할듯. 시험문제는 알려주셨습니다만 변별성이 사라져 이번부터 안알려주실 가능성이 높아요.과제: 그날 수업한거에 따라 동영상 자막쓰기 과제가 있어요. 양은 때때 따라 달라요. 분량은 (반페이지)~(A4 3~4장) 이정도로 편차가 큰편입니다. 깜지같은날도 있어요. 욕하면서 썼습니다...출석: 전자출결 돌립니다. 바로 안돌여진사람 호명하십니다. 진짜 문제는 지금부터인데, 수업 중간중간 이름 불러서 문장 만들기, 쓰여있는 문장 발음하기 등을 진행하면서 없는사람은 바로 결석처리합니다. 출튀 성공은 랜덤입니다 학우분들.시험: 저는 한글로 되어있는 문장을 독일어로 쓰는 시험이었습니다. 문장단위로 채점하는것이 아니라 단어단위로 채점하셔요. 이건 수업전에 말씀해주십니다.총평들어도 괜찮다: 언어를 좋아한다./ 독일어를 꼭!!!! 배우고 싶었다./ 수업에 목차가 없어도 들을 수 있다.도망치세요: 언어를 극혐한다./ 학점만 따면 괜찮겠지, 뭐. 라는 생각이다./ 출튀를 할거다./ 수업에 목차가 없으면 들을 수 없다."
39,강대,김주환,정책학원론,3,그냥 저냥 무난하게 듣기 좋음 교수님 피피티 올려 주신거 금방 지워버리니까 미리 다운..
40,강대,김은애,세계도시여행과문학,5,저는 이 수업듣고 이런 거야말로 교양수업이구나 라는 것을 느꼈어요 수업이 너무 재미있어서 집에 와서 수업과 관련되었던 자료 찾아보고 여행계획도 세울 거에요!
41,강대,노춘기,실버문학과문화,5,진짜 최고의 교수님수강신청기간에 무조건 잡으세요 정말.. 뭘 생각하시든 최고십니다!
42,강대,노춘기,실버문학과문화,5,수업열정 넘치시고 학생들과 소통하려고 노력하신다과제는 수업시간에 배운 내용 감상문쓰는건데 할만함시험도 쉬운편이라고 생각함진짜 진짜 좋은 강의라고 생각한다
43,강대,간호배,글쓰기,5,교수님 넘 좋으시고 시키시는 것만 잘하시면 됩니다
44,강대,정혜경,글쓰기,5,교수님 너무 좋으심 진짜 학생들에 대한 애정도 가득하시고 수업도 잘 해주심
45,강대,박영란,복지융합인재와휴먼서비스,2,별로임...뭔가 열정적이긴 하신데 내가 얻어가는게 없음...얻어가는 거 사회보장제도 요정도 이게 필교여서 듣늗거지 별로임...
46,강대,윤찬중,인성과학문II,5,시험 없고 자기 소개서만 제출하면됨 원하는사람만 상담하고 상담 원하지 안 으면 따로 안가도됨
47,강대,윤승태,채플(이웃사랑)II,3,자리가너무좁고 불편해요 필수라 어쩔수없이 듣는수업
48,강대,이영석,컴퓨터프로그래밍,3,좋긴 좋은 강의인데... 솔직히...어렵게 가르쳐주심..교수님은 쉽게 쉽게 가르치고 싶어하지만 설명이 너무 간추려진 느낌..기본적인 것에 대한 상세한 설명이 부족함
49,강대,양은모,국제통상론,5,정말 교수님이 좋으셔서 즐겁게 들을수있었어요 나름 이거 들으니까 세상보는 눈도 달라집니다.
